year,source_type,url
1977,HTML,https://www.berkshirehathaway.com/letters/1977.html
1978,HTML,https://www.berkshirehathaway.com/letters/1978.html
1979,HTML,https://www.berkshirehathaway.com/letters/1979.html
1980,HTML,https://www.berkshirehathaway.com/letters/1980.html
1981,HTML,https://www.berkshirehathaway.com/letters/1981.html
1982,HTML,https://www.berkshirehathaway.com/letters/1982.html
1983,HTML,https://www.berkshirehathaway.com/letters/1983.html
1984,HTML,https://www.berkshirehathaway.com/letters/1984.html
1985,HTML,https://www.berkshirehathaway.com/letters/1985.html
1986,HTML,https://www.berkshirehathaway.com/letters/1986.html
1987,HTML,https://www.berkshirehathaway.com/letters/1987.html
1988,HTML,https://www.berkshirehathaway.com/letters/1988.html
1989,HTML,https://www.berkshirehathaway.com/letters/1989.html
1990,HTML,https://www.berkshirehathaway.com/letters/1990.html
1991,HTML,https://www.berkshirehathaway.com/letters/1991.html
1992,HTML,https://www.berkshirehathaway.com/letters/1992.html
1993,HTML,https://www.berkshirehathaway.com/letters/1993.html
1994,HTML,https://www.berkshirehathaway.com/letters/1994.html
1995,HTML,https://www.berkshirehathaway.com/letters/1995.html
1996,HTML,https://www.berkshirehathaway.com/letters/1996.html
1997,HTML,https://www.berkshirehathaway.com/letters/1997.html
1998,PDF,https://www.berkshirehathaway.com/letters/1998pdf.pdf
1999,PDF,https://www.berkshirehathaway.com/letters/final1999pdf.pdf
2000,PDF,https://www.berkshirehathaway.com/letters/2000pdf.pdf
2001,PDF,https://www.berkshirehathaway.com/letters/2001pdf.pdf
2002,PDF,https://www.berkshirehathaway.com/letters/2002pdf.pdf
2003,PDF,https://www.berkshirehathaway.com/letters/2003ltr.pdf
2004,PDF,https://www.berkshirehathaway.com/letters/2004ltr.pdf
2005,PDF,https://www.berkshirehathaway.com/letters/2005ltr.pdf
2006,PDF,https://www.berkshirehathaway.com/letters/2006ltr.pdf
2007,PDF,https://www.berkshirehathaway.com/letters/2007ltr.pdf
2008,PDF,https://www.berkshirehathaway.com/letters/2008ltr.pdf
2009,PDF,http://berkshirehathaway.com/letters/2009ltr.pdf
2010,PDF,https://www.berkshirehathaway.com/letters/2010ltr.pdf
2011,PDF,https://www.berkshirehathaway.com/letters/2011ltr.pdf
2012,PDF,https://www.berkshirehathaway.com/letters/2012ltr.pdf
2013,PDF,https://www.berkshirehathaway.com/letters/2013ltr.pdf
2014,PDF,https://www.berkshirehathaway.com/letters/2014ltr.pdf
2015,PDF,https://www.berkshirehathaway.com/letters/2015ltr.pdf
2016,PDF,https://www.berkshirehathaway.com/letters/2016ltr.pdf
2017,PDF,https://www.berkshirehathaway.com/letters/2017ltr.pdf
2018,PDF,https://www.berkshirehathaway.com/letters/2018ltr.pdf
2019,PDF,https://www.berkshirehathaway.com/letters/2019ltr.pdf
2020,PDF,https://www.berkshirehathaway.com/letters/2020ltr.pdf
2021,PDF,https://www.berkshirehathaway.com/letters/2021ltr.pdf
2022,PDF,https://www.berkshirehathaway.com/letters/2022ltr.pdf
2023,PDF,https://www.berkshirehathaway.com/letters/2023ltr.pdf
2024,PDF,https://www.berkshirehathaway.com/letters/2024ltr.pdf
